parent_site,category_1,category_2,category_3,url_pg_1,url_pg_2
etsy,Accessories,Costume Accessories,Face & Body Paint,https://www.etsy.com/c/handmade/accessories/costume-accessories/face-and-body-paint?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/face-and-body-paint?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Capes,https://www.etsy.com/c/handmade/accessories/costume-accessories/capes?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/capes?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Wings,https://www.etsy.com/c/handmade/accessories/costume-accessories/wings?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/wings?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Costume Goggles,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-goggles?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-goggles?explicit=1&ref=pagination&page=2
etsy,Accessories,Belts & Suspenders,Belts,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/belts?explicit=1,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/belts?explicit=1&ref=pagination&page=2
etsy,Accessories,Belts & Suspenders,Belt Buckles,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/belt-buckles?explicit=1,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/belt-buckles?explicit=1&ref=pagination&page=2
etsy,Accessories,Belts & Suspenders,Suspenders,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/suspenders?explicit=1,https://www.etsy.com/c/handmade/accessories/belts-and-suspenders/suspenders?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Shoulder Bags,https://www.etsy.com/c/handmade/bags-and-purses/handbags/shoulder-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/shoulder-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Clutches & Evening Bags,https://www.etsy.com/c/handmade/bags-and-purses/handbags/clutches-and-evening-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/clutches-and-evening-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Crossbody Bags,https://www.etsy.com/c/handmade/bags-and-purses/handbags/crossbody-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/crossbody-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Top Handle Bags,https://www.etsy.com/c/handmade/bags-and-purses/handbags/top-handle-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/top-handle-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Wristlets,https://www.etsy.com/c/handmade/bags-and-purses/handbags/wristlets?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/wristlets?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Hobo Bags,https://www.etsy.com/c/handmade/bags-and-purses/handbags/hobo-bags?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/hobo-bags?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Purse Inserts,https://www.etsy.com/c/handmade/bags-and-purses/handbags/purse-inserts?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/purse-inserts?explicit=1&ref=pagination&page=2
etsy,Bags and Purses,Handbags,Purse Straps,https://www.etsy.com/c/handmade/bags-and-purses/handbags/purse-straps?explicit=1,https://www.etsy.com/c/handmade/bags-and-purses/handbags/purse-straps?explicit=1&ref=pagination&page=2
